AGLT2	9.26	atlas	496562	1614749	2078521	14952571	19247105	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-AGLT2	"AGLT2_CE_2","AGLT2_SL6"	09	2014
BNL-ATLAS	10.05	atlas	2759355	4699498	5411582	47229954	54386389	2014-09-01	2014-09-23	2014-09-23 11:15:12	BNL_ATLAS_1	"BNL_ATLAS_1","BNL_ATLAS_2","BNL_ATLAS_3","BNL_ATLAS_4","BNL_ATLAS_5","BNL_ATLAS_6","BNL_ATLAS_7","BNL_ATLAS_8"	09	2014
BU_ATLAS_Tier2	9.32	atlas	305952	1035741	1266780	9653106	11806386	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-NET2	"NET2"	09	2014
CIT_CMS_T2	12.944	cms	119487	614751	1106981	7957322	14328769	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Caltech	"CIT_CMS_T2","CIT_CMS_T2B"	09	2014
GLOW	9.632	cms	191099	1296128	1639770	12484303	15794266	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Wisconsin	"GLOW","GLOW-CMS","GLOW-CONDOR-CE"	09	2014
GridUNESP_CENTRAL	14.688	alice	0	0	0	0	0	2014-09-01	2014-09-01	2014-09-23 11:15:12	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2014
GridUNESP_CENTRAL	14.688	usatlas	0	0	0	0	0	2014-09-01	2014-09-01	2014-09-23 11:15:12	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2014
GridUNESP_CENTRAL	14.688	atlas	0	0	0	0	0	2014-09-01	2014-09-01	2014-09-23 11:15:12	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2014
GridUNESP_CENTRAL	14.688	uscms	0	0	0	0	0	2014-09-01	2014-09-01	2014-09-23 11:15:12	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2014
GridUNESP_CENTRAL	14.688	cms	0	0	0	0	0	2014-09-01	2014-09-01	2014-09-23 11:15:12	BR-SP-SPRACE	"GridUNESP_CENTRAL"	09	2014
HU_ATLAS_Tier2	9.44	atlas	154486	638061	741749	6023294	7002110	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-NET2	"NET2_HU"	09	2014
LC-glcc	15.68	alice	55507	374161	432786	5866848	6786092	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-LLNL-ALICE	"LC-glcc"	09	2014
LUCILLE	9.1	atlas	44862	323687	340965	2945550	3102778	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-SWT2	"Lucille_CE"	09	2014
MIT_CMS	10.8	cms	191949	971002	1328101	10486825	14343505	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_MIT	"MIT_CMS","MIT_CMS_2"	09	2014
MWT2	9.26	atlas	1703024	2734689	3513969	25323222	32539359	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-MWT2	"MWT2","MWT2_CE_IU","MWT2_CE_UC","MWT2_CE_UIUC"	09	2014
NERSC-PDSF	16.614	alice	91250	444012	503519	7376813	8365457	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-LBNL-ALICE	"NERSC-PDSF"	09	2014
Nebraska	10.412	atlas	182	0	3	2	29	2014-09-09	2014-09-23	2014-09-23 11:15:12	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	09	2014
Nebraska	10.412	cms	208298	866705	1365239	9024119	14214876	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Nebraska	"Nebraska","red-gateway1","red-gateway2"	09	2014
OU_OCHEP_SWT2	8.82	atlas	115749	324004	347891	2857721	3068401	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-SWT2	"OU_OCHEP_SWT2"	09	2014
OU_OSCER_ATLAS	14.22	atlas	163660	332055	358371	4721824	5096036	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-SWT2	"OU_OSCER_ATLAS"	09	2014
Purdue-Carter	16.4	cms	15342	399144	610750	6545961	10016295	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Purdue	"Purdue-Carter"	09	2014
Purdue-Conte	10.25	cms	10767	359668	487204	3686596	4993838	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Purdue	"Purdue-Conte"	09	2014
Purdue-Hadoop	12.37	cms	45459	164736	344242	2037778	4258263	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Purdue	"Purdue-Hadoop-CE","Purdue-Hadoop-HTCE"	09	2014
Purdue-Hansen	8.68	cms	10612	334699	463563	2905190	4023727	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Purdue	"Purdue-Hansen"	09	2014
Purdue-Rossmann	11.24	cms	14897	723174	964637	8128467	10842520	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Purdue	"Purdue-Rossmann"	09	2014
SPRACE	13.48	cms	43409	190621	228008	2569581	3073557	2014-09-01	2014-09-23	2014-09-23 11:15:12	BR-SP-SPRACE	"SPRACE"	09	2014
SWT2_CPB	8.56	atlas	242809	768342	978735	6577010	8377973	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-SWT2	"SWT2_CPB"	09	2014
UCSDT2	13.24	cms	74084	356703	443492	4722744	5871814	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_UCSD	"UCSDT2","UCSDT2-C","UCSDT2-D"	09	2014
UERJ	10.486	cms	2157	2	66	22	691	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2-LATINAMERICA	"UERJ_CE"	09	2014
UFlorida-HPC	10.94	cms	70070	639275	725586	6993651	7937920	2014-09-01	2014-09-23	2014-09-23 11:15:12	T2_US_Florida	"UFlorida-HPC"	09	2014
USCMS-FNAL-WC1	10.264	cms	337830	3385707	4123308	34750894	42321615	2014-09-01	2014-09-23	2014-09-23 11:15:12	USCMS-FNAL-WC1-CE	"USCMS-FNAL-WC1-CE","USCMS-FNAL-WC1-CE2","USCMS-FNAL-WC1-CE3","USCMS-FNAL-WC1-CE4"	09	2014
UTA_SWT2	9.67	atlas	43448	346237	353740	3348115	3420663	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-SWT2	"UTA_SWT2"	09	2014
WT2	11.06	atlas	274372	1419422	1852195	15698804	20485282	2014-09-01	2014-09-23	2014-09-23 11:15:12	US-WT2	"WT2"	09	2014
